,accuracy,precision,recall,f1,loss
855,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.027458760887384415
856,0.96875,0.9999999999928572,0.9333333333271111,0.965517241322711,0.07948160171508789
857,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.016208132728934288
858,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.002322390442714095
859,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.0179132092744112
860,1.0,0.99999999999,0.99999999999,0.99999999994,0.012964349240064621
861,0.96875,0.9444444444391976,0.9999999999941177,0.9714285713730614,0.06859230250120163
862,0.96875,0.899999999991,0.9999999999888889,0.9473684209927978,0.06633543223142624
863,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.009960294701159
864,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.07783056795597076
865,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.010237992741167545
866,0.96875,0.9230769230698225,0.9999999999916667,0.9599999999424,0.1834886223077774
867,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.022997846826910973
868,0.96875,0.9166666666590277,0.999999999990909,0.9565217390722117,0.15030471980571747
869,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.01158613059669733
870,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.0075774649158120155
871,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.015117966569960117
872,0.96875,0.9999999999933333,0.9374999999941407,0.9677419354276795,0.08040957897901535
873,0.9375,0.9374999999941407,0.9374999999941407,0.9374999999441407,0.14883579313755035
874,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.03808252885937691
875,0.96875,0.9090909090826447,0.99999999999,0.9523809523219955,0.052078984677791595
876,0.96875,0.9333333333271111,0.9999999999928572,0.965517241322711,0.0709686279296875
877,0.96875,0.9333333333271111,0.9999999999928572,0.965517241322711,0.2481330931186676
878,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.02018365077674389
879,0.9375,0.8333333333263889,0.99999999999,0.9090909090330579,0.2097194492816925
880,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.0018435895908623934
881,0.96875,0.9374999999941407,0.9999999999933333,0.9677419354276795,0.09838235378265381
882,0.96875,0.899999999991,0.9999999999888889,0.9473684209927978,0.08363572508096695
883,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.036941345781087875
884,1.0,0.9999999999944446,0.9999999999944446,0.9999999999444447,0.013410412706434727
885,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.0067031304351985455
886,0.96875,0.9473684210476455,0.9999999999944446,0.9729729729177503,0.03214532881975174
887,1.0,0.99999999999,0.99999999999,0.99999999994,0.020326748490333557
888,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.020168760791420937
889,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.005433002486824989
890,0.96875,0.9444444444391976,0.9999999999941177,0.9714285713730614,0.03559783473610878
891,0.96875,0.9374999999941407,0.9999999999933333,0.9677419354276795,0.08203206956386566
892,1.0,0.9999999999888889,0.9999999999888889,0.9999999999388889,0.007110509090125561
893,0.96875,0.9230769230698225,0.9999999999916667,0.9599999999424,0.053173888474702835
894,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.015283694490790367
895,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.023371495306491852
896,1.0,0.9999999999875,0.9999999999875,0.9999999999375,0.005732361692935228
897,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.056734658777713776
898,0.96875,0.9333333333271111,0.9999999999928572,0.965517241322711,0.20287251472473145
899,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.006350790150463581
900,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.00405061524361372
